total.cost,lot.sale.days,overage,mileage,vehicle.type,domestic.import,vehicle.age,vehicle.age.group,color.set,makex,state,make.model
4022,148,YES,81276,ECONOMY,Domestic,7,SEVEN+,GREEN,FORD,NV,FORD.ESCORT
4381,100,YES,64808,FAMILY.MEDIUM,Domestic,5,FIVE,BLUE,CHEVROLET,CA,CHEVROLET.CAVALIER
3756,167,YES,81180,FAMILY.SMALL,Import,7,SEVEN+,GOLD,MAZDA,FL,MAZDA.PROTEGE
3505,188,YES,70940,FAMILY.SMALL,Domestic,8,SEVEN+,WHITE,PONTIAC,CA,PONTIAC.SUNBIRD
5208,204,YES,78350,FAMILY.MEDIUM,Domestic,6,SIX,RED,OLDSMOBILE,TX,OLDSMOBILE.CIERA
6451,171,YES,94736,FAMILY.MEDIUM,Domestic,6,SIX,GREEN,DODGE,FL,DODGE.INTREPID
3924,102,YES,60601,ECONOMY,Import,5,FIVE,GREEN,GEO,GA,GEO.METRO
5399,139,YES,102005,FAMILY.MEDIUM,Domestic,8,SEVEN+,WHITE,BUICK,FL,BUICK.LESABRE
5789,117,YES,84851,LUXURY,Domestic,8,SEVEN+,GREEN,OTHER,TX,LINCOLN.TOWN CAR
4874,103,YES,37440,FAMILY.MEDIUM,Import,4,FOUR,RED,KIA,AZ,KIA.SEPHIA
6793,193,YES,99134,FAMILY.MEDIUM,Domestic,5,FIVE,GREEN,CHEVROLET,VA,CHEVROLET.MALIBU
5177,109,YES,96044,LUXURY,Domestic,9,SEVEN+,SILVER,MERCURY,FL,MERCURY.GRAND MARQUIS
6268,109,YES,84234,LUXURY,Import,5,FIVE,BLACK,NISSAN,CA,NISSAN.ALTIMA
5487,99,YES,55931,FAMILY.MEDIUM,Domestic,8,SEVEN+,PURPLE,BUICK,FL,BUICK.PARK AVENUE
5561,186,YES,73493,FAMILY.MEDIUM,Domestic,5,FIVE,GREEN,OLDSMOBILE,AZ,OLDSMOBILE.ACHIEVA
5142,99,YES,61482,FAMILY.LARGE,Domestic,10,SEVEN+,SILVER,CADILLAC,FL,CADILLAC.DEVILLE
5663,181,YES,87666,FAMILY.MEDIUM,Domestic,6,SIX,WHITE,BUICK,FL,BUICK.REGAL
6003,94,YES,74267,FAMILY.LARGE,Domestic,7,SEVEN+,BLUE,BUICK,FL,BUICK.LESABRE
4181,162,YES,65395,FAMILY.MEDIUM,Domestic,6,SIX,GREEN,FORD,AZ,FORD.CONTOUR
4592,134,YES,86572,LUXURY,Domestic,9,SEVEN+,BLUE,MERCURY,FL,MERCURY.GRAND MARQUIS
5208,103,YES,78384,FAMILY.MEDIUM,Domestic,4,FOUR,SILVER,FORD,TX,FORD.TAURUS
5335,134,YES,77226,FAMILY.SMALL,Import,6,SIX,GOLD,GEO,AZ,GEO.PRIZM
4785,134,YES,65645,FAMILY.LARGE,Domestic,8,SEVEN+,GREEN,PONTIAC,TX,PONTIAC.BONNEVILLE
4503,169,YES,98692,FAMILY.MEDIUM,Domestic,9,SEVEN+,WHITE,BUICK,FL,BUICK.REGAL
5614,160,YES,76810,FAMILY.MEDIUM,Domestic,8,SEVEN+,BLUE,OLDSMOBILE,VA,OLDSMOBILE.CUTLASS SUPREME
4735,189,YES,73722,FAMILY.MEDIUM,Domestic,6,SIX,WHITE,OLDSMOBILE,TX,OLDSMOBILE.CIERA
5343,191,YES,81502,ECONOMY,Import,7,SEVEN+,RED,GEO,TX,GEO.PRIZM
4785,169,YES,79096,FAMILY.LARGE,Domestic,7,SEVEN+,BLUE,CHEVROLET,AZ,CHEVROLET.LUMINA
5039,93,YES,72692,FAMILY.MEDIUM,Domestic,6,SIX,GREEN,OLDSMOBILE,GA,OLDSMOBILE.CUTLASS SUPREME
5762,259,YES,83737,FAMILY.MEDIUM,Domestic,10,SEVEN+,GOLD,BUICK,AZ,BUICK.LESABRE
5344,183,YES,80766,FAMILY.LARGE,Domestic,7,SEVEN+,BLACK,CHEVROLET,TX,CHEVROLET.LUMINA
5232,144,YES,88268,FAMILY.MEDIUM,Domestic,7,SEVEN+,RED,BUICK,VA,BUICK.REGAL
4051,262,YES,86006,FAMILY.MEDIUM,Domestic,9,SEVEN+,BLUE,CHEVROLET,AZ,CHEVROLET.LUMINA
4317,102,YES,97061,FAMILY.LARGE,Domestic,8,SEVEN+,BLUE,OLDSMOBILE,FL,OLDSMOBILE.88
4753,114,YES,94257,FAMILY.MEDIUM,Domestic,5,FIVE,WHITE,OLDSMOBILE,GA,OLDSMOBILE.CUTLASS SUPREME
6460,141,YES,81529,FAMILY.MEDIUM,Domestic,5,FIVE,GREEN,PONTIAC,FL,PONTIAC.GRAND AM
3810,123,YES,79932,FAMILY.MEDIUM,Domestic,6,SIX,WHITE,CHEVROLET,AZ,CHEVROLET.CORSICA
6668,116,YES,68623,FAMILY.SMALL,Domestic,4,FOUR,PURPLE,PONTIAC,VA,PONTIAC.GRAND AM
4620,106,YES,53610,FAMILY.SMALL,Domestic,6,SIX,WHITE,DODGE,NM,DODGE.NEON
3662,160,YES,105438,LUXURY,Import,8,SEVEN+,PURPLE,NISSAN,FL,NISSAN.SENTRA
5089,142,YES,94539,FAMILY.MEDIUM,Domestic,5,FIVE,BLACK,CHEVROLET,VA,CHEVROLET.LUMINA
5288,112,YES,63777,FAMILY.MEDIUM,Domestic,5,FIVE,WHITE,BUICK,AZ,BUICK.SKYLARK
4396,125,YES,94737,FAMILY.LARGE,Domestic,10,SEVEN+,GREEN,BUICK,TX,BUICK.LESABRE
5827,177,YES,36536,FAMILY.SMALL,Import,3,ONE-THREE,PURPLE,KIA,AZ,KIA.SEPHIA
5298,96,YES,93709,FAMILY.LARGE,Domestic,7,SEVEN+,PURPLE,FORD,FL,FORD.CROWN VICTORIA
5232,112,YES,43760,FAMILY.SMALL,Import,5,FIVE,PURPLE,NISSAN,NM,NISSAN.SENTRA
4768,104,YES,58964,FAMILY.MEDIUM,Domestic,4,FOUR,PURPLE,DODGE,AZ,DODGE.NEON
6104,127,YES,73927,FAMILY.SMALL,Import,5,FIVE,GREEN,TOYOTA,CA,TOYOTA.COROLLA
4386,117,YES,87371,FAMILY.MEDIUM,Domestic,5,FIVE,WHITE,MERCURY,TX,MERCURY.SABLE
5348,109,YES,59608,FAMILY.SMALL,Import,4,FOUR,SILVER,KIA,AZ,KIA.SEPHIA
4441,102,YES,81854,FAMILY.MEDIUM,Import,5,FIVE,PURPLE,HYUNDAI,TX,HYUNDAI.ELANTRA
5400,106,YES,76751,FAMILY.SMALL,Domestic,4,FOUR,GREEN,DODGE,NM,DODGE.NEON
4248,171,YES,62897,FAMILY.SMALL,Domestic,7,SEVEN+,BLUE,FORD,CA,FORD.ESCORT
4289,249,YES,100306,FAMILY.SMALL,Import,7,SEVEN+,GOLD,GEO,TX,GEO.PRIZM
4282,149,YES,83460,FAMILY.MEDIUM,Domestic,6,SIX,SILVER,CHEVROLET,TX,CHEVROLET.CORSICA
3904,228,YES,88045,FAMILY.MEDIUM,Domestic,10,SEVEN+,PURPLE,OLDSMOBILE,FL,OLDSMOBILE.CUTLASS SUPREME
5078,93,YES,71858,FAMILY.SMALL,Domestic,5,FIVE,GREEN,PLYMOUTH,FL,PLYMOUTH.BREEZE
4324,126,YES,85644,LUXURY,Import,8,SEVEN+,BLUE,NISSAN,NM,NISSAN.ALTIMA
4072,101,YES,53231,ECONOMY,Domestic,5,FIVE,GREEN,MERCURY,FL,MERCURY.TRACER
6592,113,YES,55167,FAMILY.MEDIUM,Domestic,3,ONE-THREE,GREEN,OLDSMOBILE,TX,OLDSMOBILE.CUTLASS
5623,161,YES,84473,FAMILY.MEDIUM,Domestic,8,SEVEN+,WHITE,PONTIAC,FL,PONTIAC.GRAND PRIX
4564,189,YES,80041,FAMILY.MEDIUM,Domestic,5,FIVE,RED,OLDSMOBILE,FL,OLDSMOBILE.ACHIEVA
5007,189,YES,84300,ECONOMY,Import,6,SIX,GOLD,NISSAN,GA,NISSAN.SENTRA
3387,111,YES,95108,FAMILY.SMALL,Import,7,SEVEN+,GOLD,GEO,AZ,GEO.PRIZM
5565,98,YES,56698,FAMILY.MEDIUM,Import,7,SEVEN+,PURPLE,NISSAN,AZ,NISSAN.SENTRA
3944,141,YES,69134,FAMILY.MEDIUM,Domestic,6,SIX,WHITE,CHEVROLET,FL,CHEVROLET.CORSICA
6463,266,YES,79222,FAMILY.MEDIUM,Domestic,6,SIX,BLUE,PONTIAC,FL,PONTIAC.GRAND PRIX
4235,100,YES,48197,ECONOMY,Domestic,4,FOUR,GOLD,MERCURY,TX,MERCURY.TRACER
6384,100,YES,77105,LUXURY,Import,6,SIX,BLUE,NISSAN,CA,NISSAN.ALTIMA
3981,167,YES,88708,FAMILY.MEDIUM,Domestic,8,SEVEN+,PURPLE,BUICK,FL,BUICK.SKYLARK
5262,172,YES,51714,FAMILY.SMALL,Domestic,5,FIVE,WHITE,PLYMOUTH,AZ,PLYMOUTH.NEON
4674,100,YES,84196,FAMILY.LARGE,Domestic,7,SEVEN+,GREEN,PONTIAC,VA,PONTIAC.BONNEVILLE
5493,112,YES,77659,FAMILY.LARGE,Domestic,3,ONE-THREE,BLACK,FORD,CA,FORD.TAURUS
6715,233,YES,86528,FAMILY.LARGE,Domestic,6,SIX,RED,OLDSMOBILE,VA,OLDSMOBILE.88
5872,102,YES,84640,FAMILY.MEDIUM,Import,7,SEVEN+,BLUE,HONDA,AZ,HONDA.CIVIC
4915,113,YES,89614,LUXURY,Import,7,SEVEN+,BLUE,MAZDA,FL,MAZDA.PROTEGE
5413,102,YES,109724,FAMILY.SMALL,Import,6,SIX,BLACK,MAZDA,FL,MAZDA.626
5742,184,YES,91802,FAMILY.LARGE,Domestic,10,SEVEN+,SILVER,CADILLAC,TX,CADILLAC.DEVILLE
5990,115,YES,62494,FAMILY.MEDIUM,Domestic,3,ONE-THREE,RED,CHEVROLET,AZ,CHEVROLET.CAVALIER
4332,162,YES,93206,FAMILY.MEDIUM,Domestic,9,SEVEN+,SILVER,PONTIAC,FL,PONTIAC.GRAND PRIX
4874,119,YES,74573,FAMILY.MEDIUM,Domestic,5,FIVE,RED,FORD,VA,FORD.CONTOUR
5406,102,YES,49614,FAMILY.MEDIUM,Domestic,7,SEVEN+,BLACK,OLDSMOBILE,VA,OLDSMOBILE.88
5086,92,YES,102265,FAMILY.MEDIUM,Import,4,FOUR,GOLD,MAZDA,AZ,MAZDA.PROTEGE
3553,132,YES,85944,FAMILY.MEDIUM,Import,5,FIVE,WHITE,HYUNDAI,VA,HYUNDAI.ELANTRA
4790,104,YES,93812,FAMILY.LARGE,Domestic,10,SEVEN+,WHITE,CADILLAC,FL,CADILLAC.DEVILLE
5281,150,YES,68888,ECONOMY,Domestic,4,FOUR,BLUE,FORD,TX,FORD.ESCORT
6824,95,YES,80517,LUXURY,Import,5,FIVE,BLACK,NISSAN,CA,NISSAN.ALTIMA
3611,114,YES,73054,FAMILY.MEDIUM,Domestic,8,SEVEN+,BLUE,BUICK,CA,BUICK.SKYLARK
6441,112,YES,91722,LUXURY,Import,6,SIX,GREEN,TOYOTA,CA,TOYOTA.CAMRY
5293,202,YES,61896,FAMILY.MEDIUM,Domestic,5,FIVE,GREEN,OLDSMOBILE,GA,OLDSMOBILE.ACHIEVA
5913,120,YES,83413,LUXURY,Import,5,FIVE,BLACK,NISSAN,GA,NISSAN.ALTIMA
3725,102,YES,72005,FAMILY.LARGE,Domestic,8,SEVEN+,GOLD,MERCURY,CA,MERCURY.SABLE
6308,196,YES,84180,FAMILY.LARGE,Domestic,5,FIVE,RED,MERCURY,TX,MERCURY.GRAND MARQUIS
4309,116,YES,100086,FAMILY.MEDIUM,Domestic,6,SIX,WHITE,BUICK,AZ,BUICK.CENTURY
4925,128,YES,83169,FAMILY.SMALL,Import,7,SEVEN+,PURPLE,MITSUBISHI,FL,MITSUBISHI.GALANT
5724,123,YES,13637,FAMILY.MEDIUM,Import,2,ONE-THREE,WHITE,DAEWOO,AZ,DAEWOO.LANOS
5468,142,YES,63295,ECONOMY,Import,6,SIX,SILVER,TOYOTA,NM,TOYOTA.TERCEL
5233,168,YES,77972,FAMILY.MEDIUM,Domestic,8,SEVEN+,SILVER,OLDSMOBILE,CA,OLDSMOBILE.CIERA
5228,199,YES,62863,ECONOMY,Domestic,6,SIX,WHITE,CHEVROLET,FL,CHEVROLET.CORSICA
4895,116,YES,78004,FAMILY.MEDIUM,Domestic,6,SIX,BLUE,MERCURY,NV,MERCURY.MYSTIQUE
5218,108,YES,42702,FAMILY.MEDIUM,Domestic,5,FIVE,WHITE,FORD,AZ,FORD.CONTOUR
4588,94,YES,61849,FAMILY.SMALL,Domestic,6,SIX,GREEN,PONTIAC,TX,PONTIAC.GRAND AM
5178,182,YES,100554,FAMILY.MEDIUM,Domestic,5,FIVE,GREEN,OLDSMOBILE,TX,OLDSMOBILE.CUTLASS SUPREME
3084,105,YES,81559,FAMILY.MEDIUM,Domestic,9,SEVEN+,BLUE,PONTIAC,FL,PONTIAC.GRAND PRIX
7553,93,YES,70964,FAMILY.MEDIUM,Domestic,6,SIX,GREEN,OLDSMOBILE,TX,OLDSMOBILE.CUTLASS SUPREME
5229,198,YES,84940,FAMILY.MEDIUM,Domestic,6,SIX,WHITE,BUICK,GA,BUICK.REGAL
5114,142,YES,72796,FAMILY.MEDIUM,Domestic,7,SEVEN+,BLUE,OLDSMOBILE,NV,OLDSMOBILE.ACHIEVA
6260,271,YES,13129,FAMILY.MEDIUM,Import,2,ONE-THREE,WHITE,DAEWOO,GA,DAEWOO.LANOS
5232,91,YES,100373,LUXURY,Import,10,SEVEN+,GREEN,TOYOTA,CA,TOYOTA.CAMRY
5014,159,YES,70228,FAMILY.MEDIUM,Domestic,7,SEVEN+,BLACK,OLDSMOBILE,FL,OLDSMOBILE.88
4913,99,YES,67465,FAMILY.LARGE,Domestic,6,SIX,BLUE,CHEVROLET,AZ,CHEVROLET.LUMINA
6166,100,YES,74239,FAMILY.MEDIUM,Domestic,5,FIVE,WHITE,BUICK,CA,BUICK.REGAL
5409,99,YES,82501,FAMILY.LARGE,Domestic,5,FIVE,PURPLE,CHRYSLER,TX,CHRYSLER.CONCORDE
7178,268,YES,72506,FAMILY.SMALL,Domestic,6,SIX,GREEN,BUICK,GA,BUICK.SKYLARK
3923,92,YES,91723,FAMILY.MEDIUM,Domestic,8,SEVEN+,GREEN,PONTIAC,NV,PONTIAC.GRAND PRIX
5157,110,YES,82922,FAMILY.MEDIUM,Domestic,6,SIX,BLUE,MERCURY,VA,MERCURY.SABLE
5165,241,YES,72230,FAMILY.MEDIUM,Domestic,6,SIX,WHITE,BUICK,FL,BUICK.CENTURY
5135,154,YES,99439,LUXURY,Import,5,FIVE,GREEN,NISSAN,FL,NISSAN.SENTRA
4469,120,YES,75616,FAMILY.MEDIUM,Domestic,7,SEVEN+,SILVER,BUICK,FL,BUICK.CENTURY
4428,113,YES,93879,FAMILY.MEDIUM,Import,10,SEVEN+,RED,OTHER,TX,INFINITI.G20
5703,101,YES,57898,FAMILY.MEDIUM,Domestic,4,FOUR,GREEN,FORD,AZ,FORD.CONTOUR
5339,130,YES,73862,FAMILY.MEDIUM,Domestic,6,SIX,GREEN,CHEVROLET,VA,CHEVROLET.LUMINA
7336,108,YES,80798,FAMILY.LARGE,Domestic,4,FOUR,BLUE,BUICK,GA,BUICK.CENTURY
4737,101,YES,81264,FAMILY.LARGE,Domestic,8,SEVEN+,BLUE,OLDSMOBILE,TX,OLDSMOBILE.98
5710,92,YES,82014,LUXURY,Domestic,6,SIX,BLUE,PONTIAC,GA,PONTIAC.BONNEVILLE
5062,128,YES,89667,FAMILY.MEDIUM,Domestic,9,SEVEN+,SILVER,OLDSMOBILE,FL,OLDSMOBILE.98
4774,254,YES,100962,FAMILY.MEDIUM,Domestic,7,SEVEN+,WHITE,OLDSMOBILE,GA,OLDSMOBILE.CIERA
5509,93,YES,61275,FAMILY.MEDIUM,Domestic,4,FOUR,GOLD,MERCURY,AZ,MERCURY.SABLE
5584,103,YES,80467,LUXURY,Domestic,4,FOUR,WHITE,OLDSMOBILE,CA,OLDSMOBILE.ACHIEVA
5860,155,YES,73326,FAMILY.MEDIUM,Domestic,5,FIVE,WHITE,MERCURY,VA,MERCURY.SABLE
4971,261,YES,62390,FAMILY.MEDIUM,Import,6,SIX,GREEN,MITSUBISHI,AZ,MITSUBISHI.MIRAGE
5484,117,YES,82320,LUXURY,Import,5,FIVE,BLACK,NISSAN,CA,NISSAN.SENTRA
6367,190,YES,83194,FAMILY.MEDIUM,Domestic,7,SEVEN+,GREEN,PONTIAC,FL,PONTIAC.GRAND PRIX
4262,120,YES,72253,FAMILY.SMALL,Domestic,7,SEVEN+,GREEN,PONTIAC,VA,PONTIAC.GRAND AM
5394,171,YES,98829,FAMILY.LARGE,Domestic,6,SIX,PURPLE,CHEVROLET,TX,CHEVROLET.LUMINA
4687,95,YES,75289,ECONOMY,Domestic,4,FOUR,WHITE,FORD,GA,FORD.ESCORT
5212,102,YES,67790,FAMILY.SMALL,Import,6,SIX,RED,MAZDA,CA,MAZDA.PROTEGE
5139,107,YES,44923,ECONOMY,Import,6,SIX,GREEN,GEO,CA,GEO.PRIZM
5711,155,YES,14824,FAMILY.MEDIUM,Import,2,ONE-THREE,WHITE,DAEWOO,AZ,DAEWOO.LANOS
5074,126,YES,62601,ECONOMY,Domestic,5,FIVE,RED,FORD,VA,FORD.ESCORT
5366,114,YES,83553,FAMILY.LARGE,Domestic,4,FOUR,GOLD,FORD,CA,FORD.TAURUS
4165,132,YES,68419,ECONOMY,Domestic,5,FIVE,RED,FORD,TX,FORD.ESCORT
7125,163,YES,91917,FAMILY.LARGE,Domestic,7,SEVEN+,BLUE,OLDSMOBILE,CA,OLDSMOBILE.CUTLASS SUPREME
5141,106,YES,85801,FAMILY.MEDIUM,Import,6,SIX,GREEN,MAZDA,CA,MAZDA.626
4932,136,YES,95628,FAMILY.LARGE,Domestic,7,SEVEN+,GREEN,CHEVROLET,TX,CHEVROLET.LUMINA
4815,95,YES,105650,LUXURY,Import,6,SIX,WHITE,NISSAN,FL,NISSAN.SENTRA
4935,113,YES,63634,FAMILY.MEDIUM,Domestic,5,FIVE,GREEN,FORD,TX,FORD.TAURUS
5297,96,YES,89343,FAMILY.SMALL,Import,5,FIVE,GREEN,NISSAN,AZ,NISSAN.SENTRA
4886,169,YES,61733,FAMILY.SMALL,Import,4,FOUR,GREEN,KIA,AZ,KIA.SEPHIA
4155,161,YES,96112,FAMILY.SMALL,Import,7,SEVEN+,RED,GEO,CA,GEO.PRIZM
4681,205,YES,70135,FAMILY.MEDIUM,Domestic,7,SEVEN+,WHITE,OLDSMOBILE,TX,OLDSMOBILE.CUTLASS SUPREME
4845,118,YES,88856,FAMILY.MEDIUM,Domestic,6,SIX,BLUE,OLDSMOBILE,GA,OLDSMOBILE.CIERA
4892,101,YES,54645,FAMILY.MEDIUM,Domestic,4,FOUR,GREEN,FORD,AZ,FORD.ESCORT
4365,154,YES,69351,FAMILY.SMALL,Import,5,FIVE,RED,GEO,VA,GEO.PRIZM
4798,163,YES,78918,FAMILY.MEDIUM,Domestic,7,SEVEN+,BLUE,OLDSMOBILE,FL,OLDSMOBILE.88
5285,125,YES,55541,ECONOMY,Domestic,5,FIVE,RED,CHEVROLET,VA,CHEVROLET.CAVALIER
5644,123,YES,60501,FAMILY.SMALL,Import,5,FIVE,GOLD,MAZDA,TX,MAZDA.PROTEGE
4725,144,YES,71584,ECONOMY,Domestic,5,FIVE,PURPLE,DODGE,FL,DODGE.NEON
5129,107,YES,89018,LUXURY,Import,7,SEVEN+,GREEN,TOYOTA,FL,TOYOTA.TERCEL
5194,102,YES,86096,FAMILY.MEDIUM,Domestic,6,SIX,PURPLE,DODGE,FL,DODGE.INTREPID
4979,166,YES,94553,FAMILY.MEDIUM,Domestic,6,SIX,RED,OLDSMOBILE,GA,OLDSMOBILE.CUTLASS SUPREME
5447,97,YES,50868,FAMILY.LARGE,Domestic,9,SEVEN+,GREEN,MERCURY,CA,MERCURY.GRAND MARQUIS
5007,100,YES,90153,FAMILY.LARGE,Domestic,8,SEVEN+,GREEN,BUICK,CA,BUICK.LESABRE
5028,132,YES,80603,FAMILY.MEDIUM,Domestic,6,SIX,GREEN,BUICK,TX,BUICK.REGAL
4212,217,YES,84531,FAMILY.MEDIUM,Domestic,6,SIX,GOLD,OLDSMOBILE,FL,OLDSMOBILE.ACHIEVA
5742,100,YES,90418,FAMILY.SMALL,Import,6,SIX,BLUE,TOYOTA,AZ,TOYOTA.COROLLA
4424,286,YES,87858,LUXURY,Import,8,SEVEN+,WHITE,NISSAN,VA,NISSAN.SENTRA
4981,138,YES,64113,FAMILY.SMALL,Domestic,5,FIVE,PURPLE,PLYMOUTH,CA,PLYMOUTH.NEON
5088,148,YES,82064,FAMILY.LARGE,Domestic,9,SEVEN+,GREEN,BUICK,FL,BUICK.LESABRE
5551,146,YES,88835,FAMILY.LARGE,Domestic,7,SEVEN+,GREEN,PONTIAC,VA,PONTIAC.BONNEVILLE
6919,225,YES,60318,FAMILY.MEDIUM,Domestic,4,FOUR,BLUE,OLDSMOBILE,TX,OLDSMOBILE.ACHIEVA
4814,180,YES,99640,FAMILY.LARGE,Domestic,7,SEVEN+,PURPLE,BUICK,FL,BUICK.LESABRE
4653,93,YES,82218,FAMILY.LARGE,Domestic,5,FIVE,BLUE,OLDSMOBILE,CA,OLDSMOBILE.ACHIEVA
5518,138,YES,72230,FAMILY.MEDIUM,Domestic,5,FIVE,GOLD,FORD,TX,FORD.TAURUS
6269,124,YES,85511,FAMILY.MEDIUM,Domestic,7,SEVEN+,WHITE,PONTIAC,FL,PONTIAC.BONNEVILLE
5565,174,YES,73271,FAMILY.MEDIUM,Domestic,8,SEVEN+,GREEN,MERCURY,FL,MERCURY.SABLE
4532,187,YES,95268,FAMILY.SMALL,Import,6,SIX,WHITE,GEO,TX,GEO.PRIZM
4798,181,YES,66510,FAMILY.LARGE,Domestic,6,SIX,WHITE,BUICK,GA,BUICK.CENTURY
4438,110,YES,74541,FAMILY.SMALL,Domestic,6,SIX,GREEN,PONTIAC,TX,PONTIAC.GRAND AM
3510,110,YES,71090,FAMILY.MEDIUM,Domestic,6,SIX,WHITE,CHEVROLET,AZ,CHEVROLET.CORSICA
6027,91,YES,61609,FAMILY.LARGE,Domestic,3,ONE-THREE,BLACK,PONTIAC,TX,PONTIAC.BONNEVILLE
5892,112,YES,70316,FAMILY.SMALL,Domestic,3,ONE-THREE,SILVER,CHEVROLET,CA,CHEVROLET.PRIZM
5441,159,YES,84007,FAMILY.MEDIUM,Domestic,7,SEVEN+,GREEN,OLDSMOBILE,GA,OLDSMOBILE.CUTLASS SUPREME
5815,103,YES,75344,FAMILY.MEDIUM,Domestic,5,FIVE,GREEN,PONTIAC,TX,PONTIAC.GRAND PRIX
5206,254,YES,79917,LUXURY,Import,7,SEVEN+,PURPLE,NISSAN,FL,NISSAN.SENTRA
5412,143,YES,73784,FAMILY.SMALL,Import,7,SEVEN+,SILVER,TOYOTA,AZ,TOYOTA.TERCEL
3978,182,YES,80442,FAMILY.MEDIUM,Domestic,7,SEVEN+,GREEN,OLDSMOBILE,FL,OLDSMOBILE.ACHIEVA
5022,133,YES,82630,FAMILY.MEDIUM,Domestic,9,SEVEN+,WHITE,PONTIAC,FL,PONTIAC.GRAND PRIX
5550,180,YES,77520,FAMILY.MEDIUM,Import,5,FIVE,RED,TOYOTA,VA,TOYOTA.COROLLA
6503,131,YES,84818,LUXURY,Domestic,7,SEVEN+,BLUE,OTHER,TX,LINCOLN.TOWN CAR
4329,127,YES,77051,FAMILY.SMALL,Domestic,6,SIX,GREEN,CHEVROLET,TX,CHEVROLET.CAVALIER
5093,133,YES,78150,FAMILY.MEDIUM,Domestic,6,SIX,GREEN,CHEVROLET,VA,CHEVROLET.LUMINA
7075,139,YES,18740,FAMILY.MEDIUM,Import,2,ONE-THREE,SILVER,DAEWOO,CA,DAEWOO.NUBIRA
4115,130,YES,84558,FAMILY.SMALL,Import,7,SEVEN+,GREEN,MAZDA,AZ,MAZDA.PROTEGE
6009,212,YES,88056,FAMILY.MEDIUM,Domestic,5,FIVE,PURPLE,DODGE,AZ,DODGE.INTREPID
5586,131,YES,59744,FAMILY.LARGE,Domestic,9,SEVEN+,PURPLE,BUICK,VA,BUICK.LESABRE
5225,222,YES,88429,FAMILY.MEDIUM,Domestic,5,FIVE,SILVER,CHEVROLET,GA,CHEVROLET.LUMINA
4818,110,YES,64337,FAMILY.LARGE,Domestic,5,FIVE,GREEN,BUICK,CA,BUICK.SKYLARK
3688,113,YES,72656,FAMILY.SMALL,Domestic,7,SEVEN+,BLUE,CHEVROLET,CA,CHEVROLET.CORSICA
5330,101,YES,58005,FAMILY.MEDIUM,Domestic,3,ONE-THREE,GREEN,CHEVROLET,AZ,CHEVROLET.CAVALIER
3724,125,YES,85890,FAMILY.LARGE,Domestic,7,SEVEN+,PURPLE,BUICK,CA,BUICK.CENTURY
4436,125,YES,65915,FAMILY.LARGE,Domestic,9,SEVEN+,GREEN,BUICK,VA,BUICK.ROADMASTER
6572,144,YES,75958,FAMILY.SMALL,Domestic,4,FOUR,PURPLE,CHEVROLET,VA,CHEVROLET.PRIZM
3822,99,YES,65092,FAMILY.MEDIUM,Domestic,7,SEVEN+,GREEN,MERCURY,FL,MERCURY.MYSTIQUE
6449,222,YES,78124,FAMILY.MEDIUM,Domestic,6,SIX,WHITE,BUICK,VA,BUICK.REGAL
4433,119,YES,70811,LUXURY,Import,8,SEVEN+,PURPLE,NISSAN,FL,NISSAN.SENTRA
5149,169,YES,76667,FAMILY.MEDIUM,Domestic,5,FIVE,WHITE,OLDSMOBILE,VA,OLDSMOBILE.ACHIEVA
5049,178,YES,90843,FAMILY.LARGE,Domestic,6,SIX,PURPLE,BUICK,TX,BUICK.CENTURY
5982,98,YES,88247,FAMILY.SMALL,Import,4,FOUR,PURPLE,NISSAN,CA,NISSAN.SENTRA
4647,174,YES,59705,FAMILY.LARGE,Domestic,8,SEVEN+,SILVER,CHEVROLET,AZ,CHEVROLET.LUMINA
5773,146,YES,101347,FAMILY.MEDIUM,Import,9,SEVEN+,WHITE,HONDA,AZ,HONDA.ACCORD
6402,106,YES,63877,FAMILY.SMALL,Domestic,4,FOUR,GREEN,PONTIAC,TX,PONTIAC.GRAND AM
4977,118,YES,82826,FAMILY.MEDIUM,Domestic,6,SIX,GREEN,BUICK,CA,BUICK.CENTURY
5322,98,YES,78973,FAMILY.MEDIUM,Domestic,6,SIX,BLUE,FORD,TX,FORD.TAURUS
5095,96,YES,79156,FAMILY.MEDIUM,Domestic,4,FOUR,GREEN,CHEVROLET,AZ,CHEVROLET.CAVALIER
6351,110,YES,15028,FAMILY.MEDIUM,Import,1,ONE-THREE,SILVER,DAEWOO,GA,DAEWOO.LANOS
7326,150,YES,77917,FAMILY.LARGE,Domestic,6,SIX,PURPLE,OLDSMOBILE,TX,OLDSMOBILE.88
5127,156,YES,105817,LUXURY,Import,8,SEVEN+,WHITE,HONDA,FL,HONDA.ACCORD
3986,124,YES,108360,ECONOMY,Import,7,SEVEN+,GOLD,NISSAN,GA,NISSAN.SENTRA
3682,129,YES,82433,LUXURY,Import,7,SEVEN+,GOLD,NISSAN,VA,NISSAN.SENTRA
3590,163,YES,72780,FAMILY.MEDIUM,Domestic,7,SEVEN+,BLUE,PONTIAC,CA,PONTIAC.SUNBIRD
6155,95,YES,82255,FAMILY.MEDIUM,Domestic,5,FIVE,GREEN,MERCURY,FL,MERCURY.SABLE
4671,137,YES,104516,FAMILY.MEDIUM,Domestic,5,FIVE,BLUE,OLDSMOBILE,TX,OLDSMOBILE.CIERA
